,ind_engaj
6632699,1.0
6632700,1.0
6632705,0.0
6632706,1.0
6632707,0.0
6632710,1.0
6632727,1.0
6632730,0.0
6632733,1.0
6632742,1.0
6632745,0.0
6632746,1.0
6632750,0.0
6632752,0.0
6632756,1.0
6632758,1.0
6632760,0.0
6632765,1.0
6632766,1.0
6632771,1.0
6632785,0.0
6632789,0.0
6632790,0.0
6632792,1.0
6632797,0.0
6632798,0.0
6632800,1.0
6632805,0.0
6632807,1.0
6632812,1.0
6632814,1.0
6632823,1.0
6632842,1.0
6632846,1.0
6632847,1.0
6632849,0.0
6632850,1.0
6632857,0.0
6632860,0.0
6632873,1.0
6632875,1.0
6632876,1.0
6632877,1.0
6632879,0.0
6632891,0.0
6632895,0.0
6632910,1.0
6632915,1.0
6632916,1.0
6632919,0.0
6632921,1.0
6632923,1.0
6632931,1.0
6632935,1.0
6632939,0.0
6632940,0.0
6632941,0.0
6632956,0.0
6632959,0.0
6632962,0.0
6632963,0.0
6632968,0.0
6632977,1.0
6632980,1.0
6632986,1.0
6632991,0.0
6632993,0.0
6632994,1.0
6632995,0.0
6632999,1.0
6633000,0.0
6633002,1.0
6633004,0.0
6633009,0.0
6633012,1.0
6633015,1.0
6633031,0.0
6633042,0.0
6633048,1.0
6633062,0.0
6633064,1.0
6633066,1.0
6633068,0.0
6633087,0.0
6633090,1.0
6633091,1.0
6633098,0.0
6633100,1.0
6633108,1.0
6633112,0.0
6633119,1.0
6633120,1.0
6633121,1.0
6633125,0.0
6633132,0.0
6633135,1.0
6633136,0.0
6633140,1.0
6633142,1.0
6633151,0.0
6633156,0.0
6633162,0.0
6633171,0.0
6633173,0.0
6633176,1.0
6633177,1.0
6633178,0.0
6633179,1.0
6633182,0.0
6633184,0.0
6633187,0.0
6633191,1.0
6633197,1.0
6633199,1.0
6633204,1.0
6633207,0.0
6633209,0.0
6633211,1.0
6633213,1.0
6633215,1.0
6633217,1.0
6633218,1.0
6633220,1.0
6633221,1.0
6633223,0.0
6633224,0.0
6633227,1.0
6633229,1.0
6633230,1.0
6633231,1.0
6633237,1.0
6633238,1.0
6633248,1.0
6633249,1.0
6633254,0.0
6633261,0.0
6633267,1.0
6633277,1.0
6633280,1.0
6633281,1.0
6633283,1.0
6633286,0.0
6633289,0.0
6633294,0.0
6633296,0.0
6633301,0.0
6633305,1.0
6633311,0.0
6633318,1.0
6633325,1.0
6633327,0.0
6633328,0.0
6633332,0.0
6633338,1.0
6633351,0.0
6633353,1.0
6633359,0.0
6633374,1.0
6633376,0.0
6633378,0.0
6633380,0.0
6633387,1.0
6633389,1.0
6633395,1.0
6633396,0.0
6633408,0.0
6633409,0.0
6633410,0.0
6633417,0.0
6633418,1.0
6633420,0.0
6633423,1.0
6633425,0.0
6633426,1.0
6633427,1.0
6633428,1.0
6633431,0.0
6633441,1.0
6633443,0.0
6633447,1.0
6633457,1.0
6633459,0.0
6633462,0.0
6633463,0.0
6633470,1.0
6633475,1.0
6633477,0.0
6633482,1.0
6633483,1.0
6633497,0.0
6633507,0.0
6633512,1.0
6633515,0.0
6633516,1.0
6633519,1.0
6633521,1.0
6633522,0.0
6633523,0.0
6633531,1.0
6633534,1.0
6633537,1.0
6633549,1.0
6633550,1.0
6633553,1.0
6633555,0.0
6633568,0.0
6633569,0.0
6633570,0.0
6633572,0.0
6633577,1.0
6633588,0.0
6633590,1.0
6633599,1.0
6633600,0.0
6633603,1.0
6633604,0.0
6633608,1.0
6633610,1.0
6633615,1.0
6633616,1.0
6633618,1.0
6633621,1.0
6633624,1.0
6633626,0.0
6633628,1.0
6633634,0.0
6633644,0.0
6633646,1.0
6633650,0.0
6633651,1.0
6633655,0.0
6633660,0.0
6633661,1.0
6633664,0.0
6633668,0.0
6633683,1.0
6633687,0.0
6633689,1.0
6633691,1.0
6633702,1.0
6633703,1.0
6633704,0.0
6633708,1.0
6633718,1.0
6633728,1.0
6633732,1.0
6633745,0.0
6633750,1.0
6633753,1.0
6633757,1.0
6633758,0.0
6633759,1.0
6633762,0.0
6633769,1.0
6633770,1.0
6633773,1.0
6633777,1.0
6633778,0.0
6633783,0.0
6633785,1.0
6633795,0.0
6633796,1.0
6633806,1.0
6633807,1.0
6633810,0.0
6633815,1.0
6633827,1.0
6633828,0.0
6633836,0.0
6633838,0.0
6633840,1.0
6633845,0.0
6633850,1.0
6633854,1.0
6633856,1.0
6633861,1.0
6633862,1.0
6633865,0.0
6633870,0.0
6633877,1.0
6633881,0.0
6633886,1.0
6633890,1.0
6633893,1.0
6633894,1.0
6633901,1.0
6633906,0.0
6633908,0.0
6633912,0.0
6633916,0.0
6633923,0.0
6633924,0.0
6633932,1.0
6633952,0.0
6633961,1.0
6633963,0.0
6633965,0.0
6633967,1.0
6633970,1.0
6633972,0.0
6633981,0.0
6633982,1.0
6633985,0.0
6633991,0.0
6633993,0.0
6634001,1.0
6634004,0.0
6634007,0.0
6634016,1.0
6634021,1.0
6634022,1.0
6634023,1.0
6634026,0.0
6634044,1.0
6634046,0.0
6634047,0.0
6634049,1.0
6634051,0.0
6634052,1.0
6634061,0.0
6634068,0.0
6634069,0.0
6634074,1.0
6634075,0.0
6634078,1.0
6634088,0.0
6634089,0.0
6634092,0.0
6634098,0.0
6634100,1.0
6634101,1.0
6634106,1.0
6634107,1.0
6634114,0.0
6634117,0.0
6634126,0.0
6634130,1.0
6634133,1.0
6634135,1.0
6634138,0.0
6634145,1.0
6634147,0.0
6634148,1.0
6634149,0.0
6634152,0.0
6634157,1.0
6634162,0.0
6634165,1.0
6634168,1.0
6634175,1.0
6634176,1.0
6634195,0.0
6634209,1.0
6634210,1.0
6634212,0.0
6634221,0.0
6634223,1.0
6634224,0.0
6634231,0.0
6634236,1.0
6634241,1.0
6634242,1.0
6634253,0.0
6634257,1.0
6634258,1.0
6634260,1.0
6634271,1.0
6634273,1.0
6634274,1.0
6634280,0.0
6634282,1.0
6634288,1.0
6634289,1.0
6634294,1.0
6634301,1.0
6634303,1.0
6634305,1.0
6634310,0.0
6634316,0.0
6634320,0.0
6634322,1.0
6634323,0.0
6634326,0.0
6634327,1.0
6634331,0.0
6634334,1.0
6634336,0.0
6634339,1.0
6634341,1.0
6634344,0.0
6634350,1.0
6634352,1.0
6634354,1.0
6634356,1.0
6634357,1.0
6634358,1.0
6634361,1.0
6634365,1.0
6634366,1.0
6634369,1.0
6634371,1.0
6634379,0.0
6634381,0.0
6634383,1.0
6634385,1.0
6634386,0.0
6634393,0.0
6634394,1.0
6634396,1.0
6634405,0.0
6634408,1.0
6634414,1.0
6634419,1.0
6634422,0.0
6634432,0.0
6634436,1.0
6634441,1.0
6634446,1.0
6634448,1.0
6634450,0.0
6634453,0.0
6634455,0.0
6634464,1.0
6634466,0.0
6634471,0.0
6634476,1.0
6634479,1.0
6634481,1.0
6634487,0.0
6634488,0.0
6634494,0.0
6634503,1.0
6634504,0.0
6634505,1.0
6634515,0.0
6634525,1.0
6634527,0.0
6634529,0.0
6634535,0.0
6634536,0.0
6634538,0.0
6634550,0.0
6634554,1.0
6634556,1.0
6634565,1.0
6634568,1.0
6634570,1.0
6634573,1.0
6634582,1.0
6634593,1.0
6634594,0.0
6634601,0.0
6634602,0.0
6634608,1.0
6634613,1.0
6634618,1.0
6634619,1.0
6634633,1.0
6634635,0.0
6634639,1.0
6634643,0.0
6634644,0.0
6634650,0.0
6634651,1.0
6634655,0.0
6634663,1.0
6634666,1.0
6634667,1.0
6634674,1.0
6634676,0.0
6634677,1.0
6634681,0.0
6634696,1.0
6634698,0.0
6634699,0.0
6634701,1.0
6634702,0.0
6634705,1.0
6634709,0.0
6634725,0.0
6634733,1.0
6634734,0.0
6634740,1.0
6634750,0.0
6634752,0.0
6634766,0.0
6634767,1.0
6634771,0.0
6634774,1.0
6634776,1.0
6634777,0.0
6634780,0.0
6634782,1.0
6634785,0.0
6634787,0.0
6634791,0.0
6634800,1.0
6634804,0.0
6634807,1.0
6634810,0.0
6634811,0.0
6634813,1.0
6634814,0.0
6634815,0.0
6634825,0.0
6634826,0.0
6634827,0.0
6634831,0.0
6634838,0.0
6634842,0.0
6634843,0.0
6634845,0.0
6634847,1.0
6634849,0.0
6634850,0.0
6634854,0.0
6634856,0.0
6634860,1.0
6634862,1.0
6634869,1.0
6634871,0.0
6634872,1.0
6634873,0.0
6634874,0.0
6634876,1.0
6634882,0.0
6634884,0.0
6634888,1.0
6634889,0.0
6634905,0.0
6634914,1.0
6634917,0.0
6634918,0.0
6634920,0.0
6634923,0.0
6634925,0.0
6634932,0.0
6634936,0.0
6634939,0.0
6634940,0.0
6634942,0.0
6634943,0.0
6634948,1.0
6634956,1.0
6634962,1.0
6634963,0.0
6634965,1.0
6634966,0.0
6634967,1.0
6634973,1.0
6634974,1.0
6634975,0.0
6634986,1.0
6634987,0.0
6634992,1.0
6634994,0.0
6635001,0.0
6635005,0.0
6635008,1.0
6635014,0.0
6635018,1.0
6635021,1.0
6635022,0.0
6635025,0.0
6635029,0.0
6635032,1.0
6635033,1.0
6635036,1.0
6635038,0.0
6635040,0.0
6635045,1.0
6635052,1.0
6635058,0.0
6635060,0.0
6635071,1.0
6635078,1.0
6635081,1.0
6635085,0.0
6635087,1.0
6635089,0.0
6635090,0.0
6635093,0.0
6635104,1.0
6635105,1.0
6635109,1.0
6635118,0.0
6635141,0.0
6635145,1.0
6635156,0.0
6635160,1.0
6635161,1.0
6635164,0.0
6635166,0.0
6635169,1.0
6635177,1.0
6635181,0.0
6635186,0.0
6635191,1.0
6635200,0.0
6635202,0.0
6635204,1.0
6635209,0.0
6635215,0.0
6635221,1.0
6635222,0.0
6635223,0.0
6635224,1.0
6635236,0.0
6635240,1.0
6635243,0.0
6635244,0.0
6635245,0.0
6635247,1.0
6635250,0.0
6635254,1.0
6635263,1.0
6635264,0.0
6635265,1.0
6635271,1.0
6635274,0.0
6635276,0.0
6635278,0.0
6635279,1.0
6635281,1.0
6635282,0.0
6635283,0.0
6635284,1.0
6635287,0.0
6635293,1.0
6635298,0.0
6635312,1.0
6635316,0.0
6635317,1.0
6635323,0.0
6635325,0.0
6635332,1.0
6635343,1.0
6635344,0.0
6635348,0.0
6635368,1.0
6635371,1.0
6635376,0.0
6635384,0.0
6635385,0.0
6635386,1.0
6635391,0.0
6635392,0.0
6635403,1.0
6635404,1.0
6635408,1.0
6635409,1.0
6635410,0.0
6635414,1.0
6635417,0.0
6635428,0.0
6635432,0.0
6635444,1.0
6635449,1.0
6635452,0.0
6635455,1.0
6635456,0.0
6635457,1.0
6635460,1.0
6635462,1.0
6635467,1.0
6635470,0.0
6635477,0.0
6635484,0.0
6635485,0.0
6635487,1.0
6635488,1.0
6635489,1.0
6635494,1.0
6635503,1.0
6635504,0.0
6635509,0.0
6635517,1.0
6635519,1.0
6635523,1.0
6635531,0.0
6635535,0.0
6635544,0.0
6635548,1.0
6635549,1.0
6635550,1.0
6635551,0.0
6635554,1.0
6635555,0.0
6635559,1.0
6635563,1.0
6635566,1.0
6635567,1.0
6635569,0.0
6635573,0.0
6635576,1.0
6635579,1.0
6635581,0.0
6635586,1.0
6635588,1.0
6635591,0.0
6635595,1.0
6635597,1.0
6635599,1.0
6635609,0.0
6635620,1.0
6635622,1.0
6635627,1.0
6635634,1.0
6635642,1.0
6635648,1.0
6635661,1.0
6635666,0.0
6635676,0.0
6635679,0.0
6635682,1.0
6635685,1.0
6635695,0.0
6635699,0.0
6635705,1.0
6635707,1.0
6635716,1.0
6635721,1.0
6635733,1.0
6635734,1.0
6635735,1.0
6635739,1.0
6635741,1.0
6635749,1.0
6635753,0.0
6635757,0.0
6635760,1.0
6635764,0.0
6635766,1.0
6635775,0.0
6635778,1.0
6635781,0.0
6635784,0.0
6635787,1.0
6635788,0.0
6635795,0.0
6635799,1.0
6635800,1.0
6635801,0.0
6635803,1.0
6635806,1.0
6635807,1.0
6635808,0.0
6635809,0.0
6635811,1.0
6635819,0.0
6635826,1.0
6635829,0.0
6635831,0.0
6635832,0.0
6635837,1.0
6635838,0.0
6635841,1.0
6635850,0.0
6635857,0.0
6635863,0.0
6635866,1.0
6635870,1.0
6635871,0.0
6635874,1.0
6635878,0.0
6635879,0.0
6635887,1.0
6635895,1.0
6635907,0.0
6635915,1.0
6635919,0.0
6635923,1.0
6635928,0.0
6635929,0.0
6635930,1.0
6635931,1.0
6635941,0.0
6635950,0.0
6635951,1.0
6635954,0.0
6635956,1.0
6635961,1.0
6635964,1.0
6635965,1.0
6635968,0.0
6635971,1.0
6635973,1.0
6635980,1.0
6635981,0.0
6635983,0.0
6635984,0.0
6635985,0.0
6635989,0.0
6635991,1.0
6635994,1.0
6635998,1.0
6635999,1.0
6636004,0.0
6636010,1.0
6636015,1.0
6636016,0.0
6636017,0.0
6636019,1.0
6636020,0.0
6636022,0.0
6636027,0.0
6636029,0.0
6636035,0.0
6636042,1.0
6636046,1.0
6636049,0.0
6636050,1.0
6636056,1.0
6636075,0.0
6636076,0.0
6636080,1.0
6636085,1.0
6636098,0.0
6636101,1.0
6636107,0.0
6636108,1.0
6636111,1.0
6636116,0.0
6636124,1.0
6636125,1.0
6636135,1.0
6636138,0.0
6636139,1.0
6636140,0.0
6636142,0.0
6636144,0.0
6636149,0.0
6636155,1.0
6636156,0.0
6636161,1.0
6636170,1.0
6636171,0.0
6636172,1.0
6636174,0.0
6636178,0.0
6636182,1.0
6636206,0.0
6636208,1.0
6636218,0.0
6636219,1.0
6636225,0.0
6636235,0.0
6636236,1.0
6636240,1.0
6636241,1.0
6636243,1.0
6636247,0.0
6636251,0.0
6636257,1.0
6636260,0.0
6636262,0.0
6636263,0.0
6636264,0.0
6636266,1.0
6636277,0.0
6636279,0.0
6636287,0.0
6636292,1.0
6636301,0.0
6636302,1.0
6636313,0.0
6636320,1.0
6636339,1.0
6636351,0.0
6636360,0.0
6636365,0.0
6636369,1.0
6636375,1.0
6636376,1.0
6636377,1.0
6636385,1.0
6636390,1.0
6636392,1.0
6636396,1.0
6636398,1.0
6636400,0.0
6636404,0.0
6636408,1.0
6636421,1.0
6636429,1.0
6636432,1.0
6636434,1.0
6636448,1.0
6636461,0.0
6636472,1.0
6636479,1.0
6636480,0.0
6636482,0.0
6636488,1.0
6636489,1.0
6636494,0.0
6636504,0.0
6636513,1.0
6636538,1.0
6636543,0.0
6636544,0.0
6636546,1.0
6636550,1.0
6636562,1.0
6636586,0.0
6636590,0.0
6636600,0.0
6636604,1.0
6636606,1.0
6636611,0.0
6636615,0.0
6636630,0.0
6636632,1.0
6636637,1.0
6636647,0.0
6636651,1.0
6636652,0.0
6636669,0.0
6636673,1.0
6636674,0.0
6636677,0.0
6636678,1.0
6636680,1.0
6636684,1.0
6636688,1.0
6636691,1.0
6636702,1.0
6636704,1.0
6636709,0.0
6636716,0.0
6636718,1.0
6636726,1.0
6636727,0.0
6636731,0.0
6636732,1.0
6636739,0.0
6636742,0.0
6636744,0.0
6636748,1.0
6636751,1.0
6636756,1.0
6636763,0.0
6636772,1.0
6636773,1.0
6636775,0.0
6636777,1.0
6636785,0.0
6636787,1.0
6636789,1.0
6636790,0.0
6636791,1.0
6636793,1.0
6636796,1.0
6636797,1.0
6636799,0.0
6636800,0.0
6636805,0.0
6636807,1.0
6636808,1.0
6636809,1.0
6636810,0.0
6636817,0.0
6636821,0.0
6636822,1.0
6636825,0.0
6636826,1.0
6636829,0.0
6636830,1.0
6636832,1.0
6636837,0.0
6636842,1.0
6636844,1.0
6636846,1.0
6636855,0.0
6636864,0.0
6636865,1.0
6636867,1.0
6636869,1.0
6636884,0.0
6636886,0.0
6636894,0.0
6636897,0.0
6636898,1.0
6636904,0.0
6636912,1.0
6636915,1.0
6636919,1.0
6636920,0.0
6636924,0.0
6636925,0.0
6636929,1.0
6636932,1.0
6636933,0.0
6636935,1.0
6636941,0.0
6636951,1.0
6636956,0.0
6636960,1.0
6636961,0.0
6636966,1.0
6636967,1.0
6636971,0.0
6636986,0.0
6636990,0.0
6637004,1.0
6637019,0.0
6637023,1.0
6637027,0.0
6637030,1.0
6637033,1.0
6637037,0.0
6637040,0.0
6637051,0.0
6637059,0.0
6637062,0.0
6637063,0.0
6637065,1.0
6637072,1.0
6637074,1.0
6637082,0.0
6637085,0.0
6637089,1.0
6637090,0.0
6637092,1.0
6637095,1.0
6637098,1.0
6637100,1.0
6637102,1.0
6637106,0.0
6637110,1.0
6637114,1.0
6637118,0.0
6637121,1.0
6637132,1.0
6637133,1.0
6637137,0.0
6637139,1.0
6637144,0.0
6637147,0.0
6637149,0.0
6637152,1.0
6637156,1.0
6637164,1.0
6637178,0.0
6637182,0.0
6637183,1.0
6637185,0.0
6637188,0.0
6637203,1.0
6637205,0.0
6637206,0.0
6637207,1.0
6637208,0.0
6637212,0.0
6637213,1.0
6637223,1.0
6637228,1.0
6637231,1.0
6637232,1.0
6637239,1.0
6637247,1.0
6637253,0.0
6637254,1.0
6637255,1.0
6637259,1.0
6637271,1.0
6637273,0.0
6637290,1.0
6637309,1.0
6637325,0.0
6637340,1.0
6637346,0.0
6637351,0.0
6637355,0.0
6637357,1.0
6637359,0.0
6637362,1.0
6637369,0.0
6637379,1.0
6637383,0.0
6637394,1.0
6637402,1.0
6637404,0.0
6637408,0.0
6637409,1.0
6637416,0.0
6637417,0.0
6637423,0.0
6637426,0.0
6637427,0.0
6637429,0.0
6637432,0.0
6637435,1.0
6637439,1.0
6637442,1.0
6637446,1.0
6637447,0.0
6637454,0.0
6637458,1.0
6637461,1.0
6637476,0.0
6637483,1.0
6637484,0.0
6637490,0.0
6637494,1.0
6637497,1.0
6637500,1.0
6637510,1.0
6637511,0.0
6637522,1.0
6637523,1.0
6637524,1.0
6637531,0.0
6637532,0.0
6637533,1.0
6637537,1.0
6637538,1.0
6637545,0.0
6637546,1.0
6637548,1.0
6637551,0.0
6637552,1.0
6637559,1.0
6637560,0.0
6637566,1.0
6637572,1.0
6637579,1.0
6637580,1.0
6637595,1.0
6637597,0.0
6637600,1.0
6637604,0.0
6637605,1.0
6637610,1.0
6637612,1.0
6637618,1.0
6637622,1.0
6637629,1.0
6637633,0.0
6637637,1.0
6637644,1.0
6637645,1.0
6637647,0.0
6637653,0.0
6637662,1.0
6637663,1.0
6637666,1.0
6637670,1.0
6637673,1.0
6637674,1.0
6637680,0.0
6637685,1.0
6637686,0.0
6637693,1.0
6637700,1.0
6637705,1.0
6637708,0.0
6637711,1.0
6637712,1.0
6637719,1.0
6637722,0.0
6637742,0.0
6637745,0.0
6637747,1.0
6637749,1.0
6637750,1.0
6637754,0.0
6637778,0.0
6637789,1.0
6637792,0.0
6637797,1.0
6637802,1.0
6637804,1.0
6637810,0.0
6637813,0.0
6637815,1.0
6637816,1.0
6637819,1.0
6637823,0.0
6637834,1.0
6637838,1.0
6637843,0.0
6637846,0.0
6637858,1.0
6637865,1.0
6637866,0.0
6637868,1.0
6637870,0.0
6637872,0.0
6637879,0.0
6637881,0.0
6637884,0.0
6637886,1.0
6637899,0.0
6637908,1.0
6637913,0.0
6637916,0.0
6637918,0.0
6637927,1.0
6637938,1.0
6637943,0.0
6637944,1.0
6637946,1.0
6637949,1.0
6637961,0.0
6637969,0.0
6637975,1.0
6637976,1.0
6637978,0.0
6637980,1.0
6637982,1.0
6637987,1.0
6637988,1.0
6637996,1.0
6637998,1.0
6638000,0.0
6638002,1.0
6638004,1.0
6638006,0.0
6638007,0.0
6638008,0.0
6638014,0.0
6638016,1.0
6638017,1.0
6638020,0.0
6638025,0.0
6638033,1.0
6638034,0.0
6638039,0.0
6638040,0.0
6638042,1.0
6638047,1.0
6638050,0.0
6638063,1.0
6638064,0.0
6638070,1.0
6638074,0.0
6638082,1.0
6638083,0.0
6638085,0.0
6638101,1.0
6638104,0.0
6638105,1.0
6638106,1.0
6638114,1.0
6638115,0.0
6638117,1.0
6638122,1.0
6638126,0.0
6638127,1.0
6638137,0.0
6638150,0.0
6638151,0.0
6638152,0.0
6638166,0.0
6638180,0.0
6638181,1.0
6638187,1.0
6638198,0.0
6638201,0.0
6638207,0.0
6638209,0.0
6638211,0.0
6638223,1.0
6638224,1.0
6638231,0.0
6638239,1.0
6638241,0.0
6638247,0.0
6638250,1.0
6638253,0.0
6638263,1.0
6638266,1.0
6638267,1.0
6638271,1.0
6638273,1.0
6638276,0.0
6638287,1.0
6638289,1.0
6638292,1.0
6638301,0.0
6638302,0.0
6638303,1.0
6638306,1.0
6638307,0.0
6638309,0.0
6638313,0.0
6638324,0.0
6638325,0.0
6638332,1.0
6638339,1.0
6638348,1.0
6638349,1.0
6638351,1.0
6638362,0.0
6638366,0.0
6638368,0.0
6638379,1.0
6638382,1.0
6638385,1.0
6638391,1.0
6638402,1.0
6638412,0.0
6638415,0.0
6638421,1.0
6638430,1.0
6638433,1.0
6638441,1.0
6638442,0.0
6638445,0.0
6638447,1.0
6638448,1.0
6638452,0.0
6638460,1.0
6638468,1.0
6638470,1.0
6638476,1.0
6638495,0.0
6638497,0.0
6638499,1.0
6638500,1.0
6638502,1.0
